Force_f,Average_r,Average_n,Std_r,Std_n
1.3813813813813813,43.73348863827523,1.9929729645258916,16.470129589234165,1.3210657712288805
1.3913913913913913,46.887370572511806,2.23333333126283,17.507927908715043,1.399603117126291
1.4014014014014013,49.66606092866296,2.442312312262715,18.2214489597872,1.4518434916490879
1.4114114114114114,52.79316903305076,2.677657680293531,18.70460643154041,1.4854921910740781
1.4214214214214214,56.445673944032656,2.953333334501613,19.42368269504559,1.5376894640670828
1.4314314314314314,59.97410483596504,3.217597597597578,19.214313857134485,1.5163072088186993
1.4414414414414414,63.4886593615305,3.4791891891891633,19.076826611913894,1.50073201033269
1.4514514514514514,67.11715291989995,3.7482282282282102,19.184868894634857,1.504540930909533
1.4614614614614614,70.45966534212636,3.993333333333333,19.842575784954242,1.5513291791951276
1.4714714714714714,74.77941648366573,4.313333352820238,20.31983047909505,1.5838209771463436
1.4814814814814814,78.50718837820524,4.5855555561269705,19.906655344406797,1.5469488081675415
1.4914914914914914,82.47402782598051,4.8747747747748225,20.336400327610722,1.5756282862363884
1.5015015015015014,88.02634877393574,5.284954952944929,19.542186363727254,1.509635020168992
1.5115115115115114,91.89704862887018,5.563333330444502,19.657754962533854,1.5141517573655416
1.5215215215215214,96.80376308013038,5.919999993469084,19.282721980405004,1.4810806861731274
1.5315315315315314,100.60233326949937,6.189999999999992,19.2202056574828,1.4721526188997354
1.5415415415415414,104.6171176739704,6.475105105105105,19.384236312814433,1.4805721085253956
1.5515515515515514,108.82215636010443,6.773333315878628,19.274224528195013,1.4680902161234513
1.5615615615615615,112.0613031378574,6.996666604646683,18.664358548969492,1.4177407642612878
1.5715715715715715,115.88167351042325,7.2630930110587375,17.71160855410538,1.3417563595067696
1.5815815815815815,119.98902898837143,7.549999869884189,17.193840956498622,1.2990380851883543
1.5915915915915915,123.40060323516751,7.783062973386257,17.414574692143827,1.3122038664661602
1.6016016016016015,127.20493365051026,8.044654534974955,15.664697019359412,1.1772370848441727
1.6116116116116117,130.18117642751488,8.242912805568906,15.654434497463196,1.1734019401674851
1.6216216216216217,132.8975190992178,8.421170934782134,15.550411618240659,1.1627704238748233
1.6316316316316317,135.7626020012797,8.609999906291332,14.630982505707955,1.0914363731699026
1.6416416416416417,138.07267768503738,8.756666577424543,14.247052378170624,1.0602463063408663
1.6516516516516517,140.4795858415705,8.909999776787464,13.527648944336491,1.0042742056462994
1.6616616616616617,143.1209250546374,9.079999641042823,12.668955107168294,0.9382254098138486
1.6716716716716717,145.53242830003387,9.232462023961254,11.626353595173393,0.8589412080506172
1.6816816816816818,147.47632672097734,9.349999713604214,10.748401181851161,0.7921489318916483
1.6916916916916918,149.03856916251797,9.43897873035711,10.2059102431752,0.7503237018115159
1.7017017017017018,150.40504569062986,9.513333102461415,9.346338436193772,0.6854356993083613
1.7117117117117118,151.92802198423814,9.598828357702082,8.420579526862683,0.616014003348515
1.7217217217217218,153.3884995175324,9.679999753115773,7.719900227326971,0.5635601489590728
1.7317317317317318,154.59889351850808,9.743333106294136,6.963469100126585,0.5074008207217917
1.7417417417417418,155.67522575487163,9.796666481401282,6.17987822437121,0.44943175227400833
1.7517517517517518,156.75389601093207,9.849999828739747,5.1709298255611555,0.375277883556388
1.7617617617617618,157.32862959733077,9.866666621880546,4.827024100111782,0.3496029687311151
1.7717717717717718,158.13421370275958,9.899999914134863,4.15162997229266,0.29999997137964257
1.7817817817817818,158.5700937945675,9.906666663003152,4.034938339445871,0.2908989885482067
1.7917917917917918,159.23815269137884,9.92999998737843,3.548064257782296,0.25514701298077486
1.8018018018018018,159.90727856630247,9.953333193078775,2.940889263450808,0.21092386256621926
1.8118118118118118,160.2981983335361,9.956666662243636,2.845100936792152,0.20360637311300162
1.8218218218218218,160.7273256450754,9.963333303869335,2.630992458560621,0.1879420657055226
1.8318318318318318,161.1884609233131,9.973333333333333,2.2584010899721885,0.16110727964792795
1.8418418418418419,161.69695862553908,9.986666666666666,1.6102035280435147,0.11469767022723507
1.8518518518518519,162.15908510859344,9.996666659494101,0.8105112675543781,0.05763872113796858
1.8618618618618619,162.5276013948103,10.0,0.006044098446898216,0.0
1.8718718718718719,162.84902172736187,10.0,0.005992085443765921,0.0
1.8818818818818819,163.17018316910642,10.0,0.004724528907585888,0.0
1.8918918918918919,163.4913446108528,10.0,0.0034569723714058566,0.0
1.901901901901902,163.8125060525962,10.0,0.002189415835225836,0.0
1.911911911911912,164.1336674943426,10.0,0.000921859299045807,0.0
1.921921921921922,164.44848292183508,10.0,8.810729923425242e-13,0.0
1.931931931931932,164.74637564466147,10.0,5.684341886080801e-13,0.0
1.941941941941942,165.044268367487,10.0,1.1368683772161603e-12,0.0
1.951951951951952,165.34216109031502,10.0,7.673861546209082e-13,0.0
1.961961961961962,165.64005381314144,10.0,1.1084466677857563e-12,0.0
1.971971971971972,165.93794653596694,10.0,5.115907697472721e-13,0.0
1.981981981981982,166.23583925879217,10.0,3.694822225952521e-13,0.0
1.991991991991992,166.53373198161773,10.0,8.810729923425242e-13,0.0
2.002002002002002,166.83162470444412,10.0,5.968558980384842e-13,0.0
2.012012012012012,167.12951742726966,10.0,1.1652900866465643e-12,0.0
2.022022022022022,167.42358492463916,10.0,9.663381206337363e-13,0.0
2.032032032032032,167.70043890744216,10.0,7.958078640513122e-13,0.0
