r,r1,r2,r3,r4,r5,r6,r7,r8,n1,n2,n3,n4,n5,n6,n7,n8
46.60521042084168,3.4268537074148293,4.112224448897795,4.797595190380761,5.482965931863728,6.168336673346692,6.853707414829659,7.539078156312625,8.22444889779559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.38196392785571,3.483967935871743,4.180761523046092,4.877555110220441,5.5743486973947896,6.271142284569137,6.967935871743486,7.664729458917835,8.361523046092184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.158717434869736,3.541082164328657,4.249298597194389,4.95751503006012,5.665731462925851,6.3739478957915825,7.082164328657314,7.790380761523045,8.498597194388777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.935470941883764,3.598196392785571,4.317835671342685,5.037474949899799,5.757114228456914,6.476753507014028,7.196392785571142,7.916032064128256,8.63567134268537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.71222444889779,3.6553106212424846,4.3863727454909816,5.117434869739479,5.848496993987976,6.579559118236472,7.310621242484969,8.041683366733466,8.772745490981963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.48897795591182,3.7124248496993983,4.454909819639278,5.197394789579159,5.939879759519037,6.682364729458917,7.424849699398797,8.167334669338677,8.909819639278556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.26573146292585,3.7695390781563125,4.5234468937875745,5.277354709418837,6.031262525050099,6.785170340681362,7.539078156312625,8.292985971943887,9.046893787575149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.04248496993988,3.8266533066132262,4.591983967935872,5.357314629258517,6.122645290581161,6.887975951903807,7.6533066132264524,8.418637274549097,9.183967935871744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.819238476953906,3.88376753507014,4.660521042084168,5.437274549098197,6.214028056112224,6.990781563126252,7.76753507014028,8.544288577154308,9.321042084168337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.595991983967934,3.940881763527054,4.729058116232465,5.517234468937876,6.305410821643286,7.093587174348697,7.881763527054108,8.669939879759518,9.45811623246493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.37274549098196,3.997995991983968,4.797595190380761,5.597194388777555,6.396793587174348,7.196392785571142,7.995991983967936,8.79559118236473,9.595190380761522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.14949899799599,4.0551102204408815,4.866132264529058,5.677154308617235,6.488176352705412,7.299198396793587,8.110220440881763,8.92124248496994,9.732264529058115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
