,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8
1.343315972222222e+00,1.864294285733260e+00,1.864294280016162e+00,1.864294285733260e+00,1.864294280016162e+00,1.864294280016162e+00,1.864294285733260e+00,1.864294280016162e+00,1.864294285733260e+00
1.343414614898990e+00,1.864359319155188e+00,1.864359291427262e+00,1.864359319155188e+00,1.864359319155188e+00,1.864359291427262e+00,1.864359319155188e+00,1.864359291427262e+00,1.416904430930324e+01
1.343513257575758e+00,1.864424315415978e+00,1.864424315415978e+00,1.864424315415978e+00,1.864424351147842e+00,1.864424315415978e+00,1.864424315415978e+00,1.864424315415978e+00,1.416957609463067e+01
1.343907828282828e+00,1.864684336191001e+00,1.864684332474887e+00,1.864684336191001e+00,1.864684321898255e+00,1.864684332474887e+00,1.864684336191001e+00,1.864684332474887e+00,1.417160090359772e+01
1.344696969696970e+00,1.865204020422406e+00,1.865204043290799e+00,1.865204020422406e+00,1.865204070447016e+00,1.865204043290799e+00,1.865204020422406e+00,1.865204043290799e+00,1.417555077674784e+01
1.351010101010101e+00,1.869348166288338e+00,1.869348166288338e+00,1.869348166288338e+00,1.869348143419945e+00,1.869348166288338e+00,1.869348166288338e+00,1.869348166288338e+00,1.420704585225873e+01
1.363636363636364e+00,1.877563866022670e+00,1.877563877742721e+00,1.877563866022670e+00,1.877563886604224e+00,1.877563877742721e+00,1.877563866022670e+00,1.877563877742721e+00,1.426948546672838e+01
1.414141414141414e+00,1.909488665508790e+00,1.909488663507805e+00,1.909488665508790e+00,1.909488663507805e+00,1.909488663507805e+00,1.909488665508790e+00,1.909488663507805e+00,1.451211377262487e+01
1.426767676767677e+00,1.917242686690616e+00,1.917242656675850e+00,1.917242686690616e+00,1.917242656675850e+00,1.917242656675850e+00,1.917242686690616e+00,1.917242656675850e+00,1.457104446715816e+01
1.429924242424243e+00,1.919167407847787e+00,1.919167390696492e+00,1.919167407847787e+00,1.919167389267218e+00,1.919167390696492e+00,1.919167407847787e+00,1.919167390696492e+00,1.458567236567567e+01
1.430713383838384e+00,1.919647696984389e+00,1.919647717280088e+00,1.919647696984389e+00,1.919647696984389e+00,1.919647717280088e+00,1.919647696984389e+00,1.919647717280088e+00,1.458932275435078e+01
1.431107954545455e+00,1.919887743647383e+00,1.919887743647383e+00,1.919887743647383e+00,1.919887743647383e+00,1.919887743647383e+00,1.919887743647383e+00,1.919887743647383e+00,1.459114690174472e+01
1.431206597222222e+00,1.919947761744867e+00,1.919947758886318e+00,1.919947761744867e+00,1.919947737447199e+00,1.919947758886318e+00,1.459160285519503e+01,1.919947758886318e+00,1.459160285519503e+01
1.431305239898990e+00,1.920007766978880e+00,1.920007731247016e+00,1.920007766978880e+00,1.920007766978880e+00,1.920007731247016e+00,1.459205877891644e+01,1.920007731247016e+00,1.459205877891644e+01
1.431502525252526e+00,1.920127675968412e+00,1.920127690261157e+00,1.920127675968412e+00,1.920127647382920e+00,1.920127690261157e+00,1.459297047171174e+01,1.920127690261157e+00,1.459297047171174e+01
1.433080808080808e+00,1.921086619151515e+00,1.921086619151515e+00,1.921086619151515e+00,1.921086619151515e+00,1.921086619151515e+00,1.460025832756234e+01,1.921086619151515e+00,1.460025832756234e+01
1.439393939393939e+00,1.924908749458218e+00,1.924908730877649e+00,1.924908749458218e+00,1.924908749458218e+00,1.924908730877649e+00,1.462930642584801e+01,1.924908730877649e+00,1.462930642584801e+01
1.452020202020202e+00,1.932488156738292e+00,1.932488156738292e+00,1.932488156738292e+00,1.932488192470156e+00,1.932488156738292e+00,1.468690994547423e+01,1.932488156738292e+00,1.468690994547423e+01
1.453598484848485e+00,1.933429584161616e+00,1.933429549859027e+00,1.933429584161616e+00,1.933429567010322e+00,1.933429549859027e+00,1.469406467526171e+01,1.933429549859027e+00,1.469406467526171e+01
1.453993055555556e+00,1.933664706973737e+00,1.933664701256639e+00,1.933664706973737e+00,1.933664699827365e+00,1.933664701256639e+00,1.469585182302502e+01,1.933664701256639e+00,1.469585182302502e+01
1.454190340909091e+00,1.933782264806612e+00,1.933782221928375e+00,1.933782264806612e+00,1.933782221928375e+00,1.933782221928375e+00,1.469674515278657e+01,1.933782221928375e+00,1.469674515278657e+01
1.454288983585859e+00,1.933848468804408e+00,1.933841036576676e+00,1.933841000844812e+00,1.933841008562895e+00,1.933841036576676e+00,1.469719177078715e+01,1.933841036576676e+00,1.469719177078715e+01
1.454387626262626e+00,1.469763828330725e+01,1.933899776616845e+00,1.933899801200367e+00,1.933899776616845e+00,1.933899776616845e+00,1.469763828330725e+01,1.933899776616845e+00,1.469763828330725e+01
1.455176767676768e+00,1.470120930436584e+01,1.934369644912602e+00,1.934369653774105e+00,1.934369629476437e+00,1.934369644912602e+00,1.470120930436584e+01,1.934369644912602e+00,1.470120930436584e+01
1.458333333333333e+00,1.471546839058806e+01,1.936245821045069e+00,1.936245791030303e+00,1.936245798176676e+00,1.936245821045069e+00,1.471546839058806e+01,1.936245821045069e+00,1.471546839058806e+01
1.464646464646465e+00,1.474386588938109e+01,1.939982350668871e+00,1.939982343522498e+00,1.939982362103067e+00,1.939982350668871e+00,1.474386588938109e+01,1.939982350668871e+00,1.474386588938109e+01
1.489898989898990e+00,1.485587426018333e+01,1.954720292465308e+00,1.954720301040955e+00,1.954720279601836e+00,1.954720292465308e+00,1.485587426018333e+01,1.954720292465308e+00,1.485587426018333e+01
1.493055555555555e+00,1.486969991946578e+01,1.956539458837392e+00,1.956539488852158e+00,1.956539453120294e+00,1.956539458837392e+00,1.486969991946578e+01,1.956539458837392e+00,1.486969991946578e+01
1.493844696969697e+00,1.487315038836129e+01,1.956993462185491e+00,1.956993462185491e+00,1.956993462185491e+00,1.956993462185491e+00,1.487315038836129e+01,1.956993462185491e+00,1.487315038836129e+01
1.493943339646465e+00,1.487358138181818e+01,1.487358138181818e+01,1.957050190092929e+00,1.957050184375831e+00,1.957050218678421e+00,1.487358138181818e+01,1.957050218678421e+00,1.487358138181818e+01
1.494041982323232e+00,1.487401260252973e+01,1.487401260252973e+01,1.957106910853994e+00,1.957106910853994e+00,1.957106910853994e+00,1.487401260252973e+01,1.957106910853994e+00,1.487401260252973e+01
1.494239267676768e+00,1.487487466891119e+01,1.487487466891119e+01,1.957220359522498e+00,1.957220338083379e+00,1.957220338083379e+00,1.487487466891119e+01,1.957220338083379e+00,1.487487466891119e+01
1.494633838383838e+00,1.487659828970796e+01,1.487659828970796e+01,1.957447160240544e+00,1.957447113932048e+00,1.957447135371166e+00,1.487659828970796e+01,1.957447135371166e+00,1.487659828970796e+01
1.496212121212121e+00,1.488348716499335e+01,1.488348716499335e+01,1.958353595592287e+00,1.958353579870266e+00,1.958353578155137e+00,1.488348716499335e+01,1.958353578155137e+00,1.488348716499335e+01
1.502525252525253e+00,1.491094682813003e+01,1.491094682813003e+01,1.961966651615795e+00,1.961966658762167e+00,1.961966651615795e+00,1.491094682813003e+01,1.961966651615795e+00,1.491094682813003e+01
1.508838383838384e+00,1.493825430496970e+01,1.493825430496970e+01,1.965559786410432e+00,1.965559783551883e+00,1.965559783551883e+00,1.493825430496970e+01,1.965559783551883e+00,1.493825430496970e+01
1.511994949494949e+00,1.495185145755198e+01,1.495185145755198e+01,1.967348884561807e+00,1.967348913719008e+00,1.967348877987144e+00,1.495185145755198e+01,1.967348877987144e+00,1.495185145755198e+01
1.513573232323232e+00,1.495863596034821e+01,1.495863596034821e+01,1.968241567147841e+00,1.968241558572194e+00,1.968241564289292e+00,1.495863596034821e+01,1.968241564289292e+00,1.495863596034821e+01
1.513671875000000e+00,1.495905971167089e+01,1.495905971167089e+01,1.495905971167089e+01,1.968297344587695e+00,1.968297344587695e+00,1.495905971167089e+01,1.968297344587695e+00,1.495905971167089e+01
1.513770517676768e+00,1.495948335579798e+01,1.495948335579798e+01,1.495948335579798e+01,1.968353050563820e+00,1.968353072002939e+00,1.495948335579798e+01,1.968353072002939e+00,1.495948335579798e+01
1.513967803030303e+00,1.496033065405708e+01,1.496033065405708e+01,1.496033065405708e+01,1.968464559706740e+00,1.968464562565289e+00,1.496033065405708e+01,1.968464562565289e+00,1.496033065405708e+01
1.514362373737374e+00,1.496202469887530e+01,1.496202469887530e+01,1.496202469887530e+01,1.968687465079890e+00,1.968687465079890e+00,1.496202469887530e+01,1.968687465079890e+00,1.496202469887530e+01
1.515151515151515e+00,1.496541106966615e+01,1.496541106966615e+01,1.496541106966615e+01,1.969133024273866e+00,1.969133050858373e+00,1.496541106966615e+01,1.969133050858373e+00,1.496541106966615e+01
1.527777777777778e+00,1.501927657836841e+01,1.501927657836841e+01,1.501927657836841e+01,1.976220599595960e+00,1.976220592449587e+00,1.501927657836841e+01,1.976220592449587e+00,1.501927657836841e+01
1.529356060606061e+00,1.502596825607052e+01,1.502596825607052e+01,1.502596825607052e+01,1.977101082751882e+00,1.977101054166391e+00,1.502596825607052e+01,1.977101054166391e+00,1.502596825607052e+01
1.530145202020202e+00,1.502931051458880e+01,1.502931051458880e+01,1.502931051458880e+01,1.977540891974289e+00,1.977540839091130e+00,1.502931051458880e+01,1.977540839091130e+00,1.502931051458880e+01
1.530539772727273e+00,1.503098080343449e+01,1.503098080343449e+01,1.503098080343449e+01,1.977760642938476e+00,1.977760642938476e+00,1.503098080343449e+01,1.977760642938476e+00,1.503098080343449e+01
1.530638415404040e+00,1.503139832683619e+01,1.503139832683619e+01,1.503139832683619e+01,1.977815527081726e+00,1.977815527081726e+00,1.503139832683619e+01,1.977815527081726e+00,1.503139832683619e+01
1.530737058080808e+00,1.503181574361400e+01,1.503181574361400e+01,1.503181574361400e+01,1.977870518420570e+00,1.503181574361400e+01,1.503181574361400e+01,1.977870476971607e+00,1.503181574361400e+01
1.530934343434343e+00,1.503265050770689e+01,1.503265050770689e+01,1.503265050770689e+01,1.977980322438935e+00,1.503265050770689e+01,1.503265050770689e+01,1.977980329585308e+00,1.503265050770689e+01
1.534090909090909e+00,1.504598780187975e+01,1.504598780187975e+01,1.504598780187975e+01,1.979735221480257e+00,1.504598780187975e+01,1.504598780187975e+01,1.979735248636474e+00,1.504598780187975e+01
1.540404040404040e+00,1.507255275200294e+01,1.507255275200294e+01,1.507255275200294e+01,1.983230619621671e+00,1.507255275200294e+01,1.507255275200294e+01,1.983230619621671e+00,1.507255275200294e+01
1.553030303030303e+00,1.512524844149539e+01,1.512524844149539e+01,1.512524844149539e+01,1.990164244921947e+00,1.512524844149539e+01,1.512524844149539e+01,1.990164257785418e+00,1.512524844149539e+01
1.559343434343434e+00,1.515138157547125e+01,1.515138157547125e+01,1.515138157547125e+01,1.993602816535978e+00,1.515138157547125e+01,1.515138157547125e+01,1.993602817393543e+00,1.515138157547125e+01
1.559738005050505e+00,1.515301014750854e+01,1.515301014750854e+01,1.515301014750854e+01,1.993817106242057e+00,1.515301014750854e+01,1.515301014750854e+01,1.993817113388430e+00,1.515301014750854e+01
1.559935290404040e+00,1.515382434805656e+01,1.515382434805656e+01,1.515382434805656e+01,1.993924237516988e+00,1.515382434805656e+01,1.515382434805656e+01,1.993924236087713e+00,1.515382434805656e+01
1.560033933080808e+00,1.515423125823706e+01,1.515423125823706e+01,1.515423125823706e+01,1.993977799581267e+00,1.515423125823706e+01,1.515423125823706e+01,1.515418610030722e+01,1.515423125823706e+01
1.560132575757576e+00,1.515463820986652e+01,1.515463820986652e+01,1.515463820986652e+01,1.994031325913682e+00,1.515463820986652e+01,1.515463820986652e+01,1.515462695318591e+01,1.515463820986652e+01
1.560921717171717e+00,1.515789265232631e+01,1.515789265232631e+01,1.515789265232631e+01,1.994459572304867e+00,1.515789265232631e+01,1.515789265232631e+01,1.515789265232631e+01,1.515789265232631e+01
1.562500000000000e+00,1.516439485538733e+01,1.516439485538733e+01,1.516439485538733e+01,1.995315136058770e+00,1.516439485538733e+01,1.516439485538733e+01,1.516439485538733e+01,1.516439485538733e+01
1.565656565656566e+00,1.517737289996929e+01,1.517737289996929e+01,1.517737289996929e+01,1.997022797575758e+00,1.517737289996929e+01,1.517737289996929e+01,1.517737289996929e+01,1.517737289996929e+01
1.616161616161616e+00,1.538033144308246e+01,1.538033144308246e+01,1.538033144308246e+01,2.023727792308540e+00,1.538033144308246e+01,1.538033144308246e+01,1.538033144308246e+01,1.538033144308246e+01
1.717171717171717e+00,1.576135834023141e+01,1.576135834023141e+01,1.576135834023141e+01,2.073862920697888e+00,1.576135834023141e+01,1.576135834023141e+01,1.576135834023141e+01,1.576135834023141e+01
1.767676767676768e+00,1.594039521787769e+01,1.594039521787769e+01,1.594039521787769e+01,2.097420438449955e+00,1.594039521787769e+01,1.594039521787769e+01,1.594039521787769e+01,1.594039521787769e+01
1.780303030303030e+00,1.598403488652342e+01,1.598403488652342e+01,1.598403488652342e+01,2.103162513278237e+00,1.598403488652342e+01,1.598403488652342e+01,1.598403488652342e+01,1.598403488652342e+01
1.781881313131313e+00,1.598945913956990e+01,1.598945913956990e+01,1.598945913956990e+01,2.103876221531681e+00,1.598945913956990e+01,1.598945913956990e+01,1.598945913956990e+01,1.598945913956990e+01
1.782078598484849e+00,1.599013667402755e+01,1.599013667402755e+01,1.599013667402755e+01,2.103965372532599e+00,1.599013667402755e+01,1.599013667402755e+01,1.599013667402755e+01,1.599013667402755e+01
1.782177241161616e+00,1.599047544783104e+01,1.599047544783104e+01,1.599047544783104e+01,2.104009894435261e+00,1.599047544783104e+01,1.599047544783104e+01,1.599047544783104e+01,1.599047544783104e+01
1.782275883838384e+00,1.599081411443894e+01,1.599081411443894e+01,1.599081411443894e+01,1.599054542368441e+01,1.599081411443894e+01,1.599081411443894e+01,1.599081411443894e+01,1.599081411443894e+01
1.782670454545455e+00,1.599216868082131e+01,1.599216868082131e+01,1.599216868082131e+01,1.599202196578733e+01,1.599216868082131e+01,1.599216868082131e+01,1.599216868082131e+01,1.599216868082131e+01
1.783459595959596e+00,1.599487657726355e+01,1.599487657726355e+01,1.599487657726355e+01,1.599487657726355e+01,1.599487657726355e+01,1.599487657726355e+01,1.599487657726355e+01,1.599487657726355e+01
1.786616161616162e+00,1.600569122184110e+01,1.600569122184110e+01,1.600569122184110e+01,1.600569122184110e+01,1.600569122184110e+01,1.600569122184110e+01,1.600569122184110e+01,1.600569122184110e+01
1.792929292929293e+00,1.602723975555408e+01,1.602723975555408e+01,1.602723975555408e+01,1.602723975555408e+01,1.602723975555408e+01,1.602723975555408e+01,1.602723975555408e+01,1.602723975555408e+01
1.818181818181818e+00,1.611237062876033e+01,1.611237062876033e+01,1.611237062876033e+01,1.611237062876033e+01,1.611237062876033e+01,1.611237062876033e+01,1.611237062876033e+01,1.611237062876033e+01
1.919191919191919e+00,1.643672394519743e+01,1.643672394519743e+01,1.643672394519743e+01,1.643672394519743e+01,1.643672394519743e+01,1.643672394519743e+01,1.643672394519743e+01,1.643672394519743e+01
2.020202020202020e+00,1.673732478368558e+01,1.673732478368558e+01,1.673732478368558e+01,1.673732478368558e+01,1.673732478368558e+01,1.673732478368558e+01,1.673732478368558e+01,1.673732478368558e+01
2.121212121212121e+00,1.701669562087787e+01,1.701669562087787e+01,1.701669562087787e+01,1.701669562087787e+01,1.701669562087787e+01,1.701669562087787e+01,1.701669562087787e+01,1.701669562087787e+01
2.222222222222222e+00,1.727703000017925e+01,1.727703000017925e+01,1.727703000017925e+01,1.727703000017925e+01,1.727703000017925e+01,1.727703000017925e+01,1.727703000017925e+01,1.727703000017925e+01
2.323232323232323e+00,1.752024059110376e+01,1.752024059110376e+01,1.752024059110376e+01,1.752024059110376e+01,1.752024059110376e+01,1.752024059110376e+01,1.752024059110376e+01,1.752024059110376e+01
2.424242424242424e+00,1.774800067396878e+01,1.774800067396878e+01,1.774800067396878e+01,1.774800067396878e+01,1.774800067396878e+01,1.774800067396878e+01,1.774800067396878e+01,1.774800067396878e+01
2.525252525252525e+00,1.796177705608815e+01,1.796177705608815e+01,1.796177705608815e+01,1.796177705608815e+01,1.796177705608815e+01,1.796177705608815e+01,1.796177705608815e+01,1.796177705608815e+01
2.626262626262626e+00,1.816286076544353e+01,1.816286076544353e+01,1.816286076544353e+01,1.816286076544353e+01,1.816286076544353e+01,1.816286076544353e+01,1.816286076544353e+01,1.816286076544353e+01
2.727272727272727e+00,1.835239082666667e+01,1.835239082666667e+01,1.835239082666667e+01,1.835239082666667e+01,1.835239082666667e+01,1.835239082666667e+01,1.835239082666667e+01,1.835239082666667e+01
2.828282828282828e+00,1.853137548576676e+01,1.853137548576676e+01,1.853137548576676e+01,1.853137548576676e+01,1.853137548576676e+01,1.853137548576676e+01,1.853137548576676e+01,1.853137548576676e+01
2.929292929292929e+00,1.870070968301194e+01,1.870070968301194e+01,1.870070968301194e+01,1.870070968301194e+01,1.870070968301194e+01,1.870070968301194e+01,1.870070968301194e+01,1.870070968301194e+01
3.030303030303030e+00,1.886119052482645e+01,1.886119052482645e+01,1.886119052482645e+01,1.886119052482645e+01,1.886119052482645e+01,1.886119052482645e+01,1.886119052482645e+01,1.886119052482645e+01
3.131313131313131e+00,1.901352968274747e+01,1.901352968274747e+01,1.901352968274747e+01,1.901352968274747e+01,1.901352968274747e+01,1.901352968274747e+01,1.901352968274747e+01,1.901352968274747e+01
3.232323232323232e+00,1.915836453319111e+01,1.915836453319111e+01,1.915836453319111e+01,1.915836453319111e+01,1.915836453319111e+01,1.915836453319111e+01,1.915836453319111e+01,1.915836453319111e+01
3.333333333333333e+00,1.929626680885127e+01,1.929626680885127e+01,1.929626680885127e+01,1.929626680885127e+01,1.929626680885127e+01,1.929626680885127e+01,1.929626680885127e+01,1.929626680885127e+01
3.434343434343434e+00,1.942775200332635e+01,1.942775200332635e+01,1.942775200332635e+01,1.942775200332635e+01,1.942775200332635e+01,1.942775200332635e+01,1.942775200332635e+01,1.942775200332635e+01
3.535353535353535e+00,1.955328462427493e+01,1.955328462427493e+01,1.955328462427493e+01,1.955328462427493e+01,1.955328462427493e+01,1.955328462427493e+01,1.955328462427493e+01,1.955328462427493e+01
3.636363636363636e+00,1.967328550129661e+01,1.967328550129661e+01,1.967328550129661e+01,1.967328550129661e+01,1.967328550129661e+01,1.967328550129661e+01,1.967328550129661e+01,1.967328550129661e+01
3.737373737373737e+00,1.978813553063141e+01,1.978813553063141e+01,1.978813553063141e+01,1.978813553063141e+01,1.978813553063141e+01,1.978813553063141e+01,1.978813553063141e+01,1.978813553063141e+01
3.838383838383838e+00,1.989818181875353e+01,1.989818181875353e+01,1.989818181875353e+01,1.989818181875353e+01,1.989818181875353e+01,1.989818181875353e+01,1.989818181875353e+01,1.989818181875353e+01
3.939393939393939e+00,2.000373978311911e+01,2.000373978311911e+01,2.000373978311911e+01,2.000373978311911e+01,2.000373978311911e+01,2.000373978311911e+01,2.000373978311911e+01,2.000373978311911e+01
4.040404040404041e+00,2.010509776958060e+01,2.010509776958060e+01,2.010509776958060e+01,2.010509776958060e+01,2.010509776958060e+01,2.010509776958060e+01,2.010509776958060e+01,2.010509776958060e+01
4.141414141414141e+00,2.020251907338108e+01,2.020251907338108e+01,2.020251907338108e+01,2.020251907338108e+01,2.020251907338108e+01,2.020251907338108e+01,2.020251907338108e+01,2.020251907338108e+01
4.242424242424242e+00,2.029624561238979e+01,2.029624561238979e+01,2.029624561238979e+01,2.029624561238979e+01,2.029624561238979e+01,2.029624561238979e+01,2.029624561238979e+01,2.029624561238979e+01
4.343434343434343e+00,2.038649911139909e+01,2.038649911139909e+01,2.038649911139909e+01,2.038649911139909e+01,2.038649911139909e+01,2.038649911139909e+01,2.038649911139909e+01,2.038649911139909e+01
4.444444444444445e+00,2.047348332493224e+01,2.047348332493224e+01,2.047348332493224e+01,2.047348332493224e+01,2.047348332493224e+01,2.047348332493224e+01,2.047348332493224e+01,2.047348332493224e+01
4.545454545454545e+00,2.055738649416639e+01,2.055738649416639e+01,2.055738649416639e+01,2.055738649416639e+01,2.055738649416639e+01,2.055738649416639e+01,2.055738649416639e+01,2.055738649416639e+01
4.646464646464646e+00,2.063838203298439e+01,2.063838203298439e+01,2.063838203298439e+01,2.063838203298439e+01,2.063838203298439e+01,2.063838203298439e+01,2.063838203298439e+01,2.063838203298439e+01
4.747474747474747e+00,2.071663021880654e+01,2.071663021880654e+01,2.071663021880654e+01,2.071663021880654e+01,2.071663021880654e+01,2.071663021880654e+01,2.071663021880654e+01,2.071663021880654e+01
4.848484848484849e+00,2.079227983053928e+01,2.079227983053928e+01,2.079227983053928e+01,2.079227983053928e+01,2.079227983053928e+01,2.079227983053928e+01,2.079227983053928e+01,2.079227983053928e+01
4.949494949494950e+00,2.086546839155188e+01,2.086546839155188e+01,2.086546839155188e+01,2.086546839155188e+01,2.086546839155188e+01,2.086546839155188e+01,2.086546839155188e+01,2.086546839155188e+01
5.050505050505050e+00,2.093632382048852e+01,2.093632382048852e+01,2.093632382048852e+01,2.093632382048852e+01,2.093632382048852e+01,2.093632382048852e+01,2.093632382048852e+01,2.093632382048852e+01
5.151515151515151e+00,2.100496521736933e+01,2.100496521736933e+01,2.100496521736933e+01,2.100496521736933e+01,2.100496521736933e+01,2.100496521736933e+01,2.100496521736933e+01,2.100496521736933e+01
5.252525252525253e+00,2.107150319375280e+01,2.107150319375280e+01,2.107150319375280e+01,2.107150319375280e+01,2.107150319375280e+01,2.107150319375280e+01,2.107150319375280e+01,2.107150319375280e+01
5.353535353535354e+00,2.113604106875275e+01,2.113604106875275e+01,2.113604106875275e+01,2.113604106875275e+01,2.113604106875275e+01,2.113604106875275e+01,2.113604106875275e+01,2.113604106875275e+01
5.454545454545454e+00,2.119867540787482e+01,2.119867540787482e+01,2.119867540787482e+01,2.119867540787482e+01,2.119867540787482e+01,2.119867540787482e+01,2.119867540787482e+01,2.119867540787482e+01
5.555555555555555e+00,2.125949624026623e+01,2.125949624026623e+01,2.125949624026623e+01,2.125949624026623e+01,2.125949624026623e+01,2.125949624026623e+01,2.125949624026623e+01,2.125949624026623e+01
5.656565656565657e+00,2.131858795201234e+01,2.131858795201234e+01,2.131858795201234e+01,2.131858795201234e+01,2.131858795201234e+01,2.131858795201234e+01,2.131858795201234e+01,2.131858795201234e+01
5.757575757575758e+00,2.137602977780717e+01,2.137602977780717e+01,2.137602977780717e+01,2.137602977780717e+01,2.137602977780717e+01,2.137602977780717e+01,2.137602977780717e+01,2.137602977780717e+01
5.858585858585858e+00,2.143189560542854e+01,2.143189560542854e+01,2.143189560542854e+01,2.143189560542854e+01,2.143189560542854e+01,2.143189560542854e+01,2.143189560542854e+01,2.143189560542854e+01
5.959595959595959e+00,2.148625531068062e+01,2.148625531068062e+01,2.148625531068062e+01,2.148625531068062e+01,2.148625531068062e+01,2.148625531068062e+01,2.148625531068062e+01,2.148625531068062e+01
6.060606060606061e+00,2.153917432289440e+01,2.153917432289440e+01,2.153917432289440e+01,2.153917432289440e+01,2.153917432289440e+01,2.153917432289440e+01,2.153917432289440e+01,2.153917432289440e+01
6.161616161616162e+00,2.159071407657844e+01,2.159071407657844e+01,2.159071407657844e+01,2.159071407657844e+01,2.159071407657844e+01,2.159071407657844e+01,2.159071407657844e+01,2.159071407657844e+01
6.262626262626262e+00,2.164093268460724e+01,2.164093268460724e+01,2.164093268460724e+01,2.164093268460724e+01,2.164093268460724e+01,2.164093268460724e+01,2.164093268460724e+01,2.164093268460724e+01
6.363636363636363e+00,2.168988489648638e+01,2.168988489648638e+01,2.168988489648638e+01,2.168988489648638e+01,2.168988489648638e+01,2.168988489648638e+01,2.168988489648638e+01,2.168988489648638e+01
6.464646464646465e+00,2.173762232131937e+01,2.173762232131937e+01,2.173762232131937e+01,2.173762232131937e+01,2.173762232131937e+01,2.173762232131937e+01,2.173762232131937e+01,2.173762232131937e+01
6.565656565656566e+00,2.178419379370197e+01,2.178419379370197e+01,2.178419379370197e+01,2.178419379370197e+01,2.178419379370197e+01,2.178419379370197e+01,2.178419379370197e+01,2.178419379370197e+01
6.666666666666667e+00,2.182964532798531e+01,2.182964532798531e+01,2.182964532798531e+01,2.182964532798531e+01,2.182964532798531e+01,2.182964532798531e+01,2.182964532798531e+01,2.182964532798531e+01
6.767676767676767e+00,2.187402047559464e+01,2.187402047559464e+01,2.187402047559464e+01,2.187402047559464e+01,2.187402047559464e+01,2.187402047559464e+01,2.187402047559464e+01,2.187402047559464e+01
